Club,School Details,Count,Count.1
South East Warriors Basketball Club,"St Bede's College - Bentleigh East Campus, Bentleigh East VIC 3165",72,6
Bentleigh Lakers Basketball Club,"Cheltenham Secondary College, Cheltenham VIC 3192",33,11
Oakleigh Raptors Basketball Club,"Clayton North Primary School, Clayton VIC 3168",1,1
St Kilda Warriors Basketball Club,"Port Melbourne Primary School, Port Melbourne VIC 3207",18,12
Bayside Warriors Basketball Club Inc,"Middle Park Primary School, Middle Park VIC 3206",4,2
Maccabi Victoria Basketball Club,"Mount Scopus Memorial College - Gandel Besen House Campus, St Kilda East VIC 3183",8,7
Piranhas Basketball,"Caulfield Grammar School, St Kilda East VIC 3183",99,12
Independent,"Mentone Grammar School, Mentone VIC 3194",41,4
Bentleigh Lakers Basketball Club,"Our Lady of the Sacred Heart College, Bentleigh VIC 3204",66,12
St Kilda Warriors Basketball Club,"Wesley College - St Kilda Road Junior Campus, Windsor VIC 3181",16,3
Carnegie Basketball Club,"Mckinnon Secondary College, Mckinnon VIC 3204",206,10
Ormond Jets Basketball Club,"Kilbreda College, Mentone VIC 3194",12,1
Brighton Wolves Basketball Club,"Mordialloc Beach Primary School, Mordialloc VIC 3195",1,1
Saints Basketball Club (McKinnon),"Brighton Secondary College, Brighton East VIC 3187",85,2
Saints Basketball Club (McKinnon),"Sandringham College, Sandringham VIC 3191",15,2
Bentleigh Lakers Basketball Club,"St Kevin's College, Toorak VIC 3142",42,8
South East Warriors Basketball Club,"South Oakleigh College, Oakleigh South VIC 3167",61,1
Ormond Jets Basketball Club,"St Michael's Grammar School, St Kilda VIC 3182",33,4
Independent,"Mckinnon Secondary College, Mckinnon VIC 3204",206,12
Bentleigh Lakers Basketball Club,"Salesian College Chadstone, Chadstone VIC 3148",63,20
Moorabbin Magic Basketball Club,"Bentleigh Secondary College, Bentleigh East VIC 3165",160,28
Ormond Jets Basketball Club,"Elwood College, Elwood VIC 3184",37,8
Bentleigh Lakers Basketball Club,"East Bentleigh Primary School, Bentleigh East VIC 3165",19,6
St Kilda Warriors Basketball Club,"Caulfield Grammar School, St Kilda East VIC 3183",99,1
Bentleigh Lakers Basketball Club,"Glen Eira College, Caulfield East VIC 3145",74,5
East Brighton Vampires Basketball Club,"St Leonard's College, Brighton East VIC 3187",98,3
Oakleigh Raptors Basketball Club,"Christ Our Holy Redeemer School, Oakleigh East VIC 3166",4,4
South East Warriors Basketball Club,"St Paul's School, Bentleigh VIC 3204",157,6
Bentleigh Lakers Basketball Club,"Brighton Grammar School, Brighton VIC 3186",236,14
Carnegie Basketball Club,"Korowa Anglican Girls' School, Glen Iris VIC 3146",2,1
Carnegie Basketball Club,"Melbourne Montessori College - Brighton East Campus, Brighton East VIC 3187",12,2
Brighton Wolves Basketball Club,"Loreto Mandeville Hall, Toorak VIC 3142",9,2
Bayside Warriors Basketball Club Inc,"Port Melbourne Primary School, Port Melbourne VIC 3207",18,6
Bentleigh Lakers Basketball Club,"Gardenvale Primary School, Brighton East VIC 3187",187,4
Moorabbin Magic Basketball Club,"St Catherine's School, Moorabbin VIC 3189",20,17
South East Warriors Basketball Club,"St Bede's College, Mentone VIC 3194",36,3
South East Warriors Basketball Club,"Elsternwick Primary School, Brighton VIC 3186",59,2
Ormond Jets Basketball Club,"Wesley College - St Kilda Road Junior Campus, Windsor VIC 3181",16,8
Bentleigh Lakers Basketball Club,"St Agnes' School, Highett VIC 3190",2,1
ABA Wolverines Basketball Club,"Hampton Primary School, Hampton VIC 3188",47,2
Carnegie Basketball Club,"Bentleigh Secondary College, Bentleigh East VIC 3165",160,2
Ormond Jets Basketball Club,"Brighton Beach Primary School, Brighton VIC 3186",49,1
East Brighton Vampires Basketball Club,"Caulfield Grammar School, St Kilda East VIC 3183",99,2
Independent,"Caulfield Grammar School - Shelford Campus, Caulfield North VIC 3161",1,1
Bentleigh Lakers Basketball Club,"De La Salle College - Kinnoull Campus, Malvern VIC 3144",24,6
Carnegie Basketball Club,"De La Salle College - Kinnoull Campus, Malvern VIC 3144",24,6
Bentleigh Lakers Basketball Club,"St Joseph's School, Elsternwick VIC 3185",80,1
Oakleigh Raptors Basketball Club,"Cire Community School - Monbulk Campus, Monbulk VIC 3793",1,1
Brighton Wolves Basketball Club,"Xavier College - Burke Hall, Kew VIC 3101",2,1
Ormond Jets Basketball Club,"Caulfield Grammar School, St Kilda East VIC 3183",99,18
Brighton Wolves Basketball Club,"Our Lady of the Sacred Heart College, Bentleigh VIC 3204",66,3
Moorabbin Tigers Basketball Club,"Moorabbin Primary School, Moorabbin VIC 3189",29,11
Bentleigh Lakers Basketball Club,"St Finbar's School, Brighton East VIC 3187",159,5
Saints Basketball Club (McKinnon),"Haileybury College - Brighton Girls, Brighton VIC 3186",51,3
Bentleigh Lakers Basketball Club,"Loreto Mandeville Hall, Toorak VIC 3142",9,1
Moorabbin Magic Basketball Club,"Haileybury College - Brighton Boys, Brighton VIC 3186",151,4
Ormond Jets Basketball Club,"Brighton Secondary College, Brighton East VIC 3187",85,10
Moorabbin Magic Basketball Club,"Bialik College, Hawthorn VIC 3122",76,7
Moorabbin Magic Basketball Club,"Brighton Secondary College, Brighton East VIC 3187",85,14
St Kilda Warriors Basketball Club,"Wesley College - Elsternwick Campus, Elsternwick VIC 3185",47,8
Bentleigh Lakers Basketball Club,"Bentleigh West Primary School, Bentleigh VIC 3204",155,11
Saints Basketball Club (McKinnon),"Hughesdale Primary School, Hughesdale VIC 3166",121,3
Ormond Jets Basketball Club,"Albert Park College, Albert Park VIC 3206",9,1
Bayside Warriors Basketball Club Inc,"St Kilda Primary School, St Kilda VIC 3182",26,7
Brighton Wolves Basketball Club,"McKinnon Secondary College - East Campus, Bentleigh East VIC 3165",260,8
Bentleigh Lakers Basketball Club,"Caulfield Grammar School - Malvern Campus, Glen Iris VIC 3146",13,1
St Kilda Warriors Basketball Club,"St Joseph's School, Elsternwick VIC 3185",80,5
Bentleigh Lakers Basketball Club,"St Leonard's College, Brighton East VIC 3187",98,14
ABA Wolverines Basketball Club,"Xavier College - Burke Hall, Kew VIC 3101",2,1
Carnegie Basketball Club,"Caulfield Primary School, Caulfield South VIC 3162",24,5
Independent,"St Bede's College, Mentone VIC 3194",36,1
Saints Basketball Club (McKinnon),"Kilvington Grammar School, Ormond VIC 3204",115,9
Ormond Jets Basketball Club,"Mentone Grammar School, Mentone VIC 3194",41,2
ABA Wolverines Basketball Club,"Coatesville Primary School, Bentleigh East VIC 3165",189,6
East Brighton Vampires Basketball Club,"Valkstone Primary School, Bentleigh East VIC 3165",139,1
Moorabbin Magic Basketball Club,"Hughesdale Primary School, Hughesdale VIC 3166",121,1
Brighton Wolves Basketball Club,"Stella Maris School, Beaumaris VIC 3193",2,1
Moorabbin Magic Basketball Club,"Salesian College Chadstone, Chadstone VIC 3148",63,2
Independent,"St Michael's Grammar School, St Kilda VIC 3182",33,1
Bentleigh Lakers Basketball Club,"Cheltenham East Primary School, Cheltenham VIC 3192",5,2
Piranhas Basketball,"Brighton Grammar School, Brighton VIC 3186",236,1
Independent,"Emmaus College, Vermont South VIC 3133",1,1
Oakleigh Raptors Basketball Club,"Mazenod College, Mulgrave VIC 3170",11,7
Moorabbin Magic Basketball Club,"Home School,   ",6,1
St Kilda Warriors Basketball Club,"Haileybury College - City Boys, West Melbourne VIC 3006",1,1
Brighton Wolves Basketball Club,"Melbourne Grammar School - Grimwade Campus, Caulfield North VIC 3161",8,6
Bentleigh Lakers Basketball Club,"Carnegie Primary School, Carnegie VIC 3163",160,5
South East Warriors Basketball Club,"Southmoor Primary School, Moorabbin VIC 3189",55,12
South East Warriors Basketball Club,"St Finbar's School, Brighton East VIC 3187",159,1
Brighton Wolves Basketball Club,"Scotch College, Hawthorn VIC 3122",12,1
East Brighton Vampires Basketball Club,"St Kevin's College, Toorak VIC 3142",42,7
Moorabbin Tigers Basketball Club,"Haileybury College - Brighton Boys, Brighton VIC 3186",151,1
Independent,"Wesley College - Elsternwick Campus, Elsternwick VIC 3185",47,20
Moorabbin Magic Basketball Club,"Mckinnon Secondary College, Mckinnon VIC 3204",206,11
Ormond Jets Basketball Club,"Melbourne Grammar School, Melbourne VIC 3004",6,1
Brighton Wolves Basketball Club,"Melbourne Grammar School - Wadhurst Campus, Melbourne VIC 3004",6,5
Bentleigh Lakers Basketball Club,"Southmoor Primary School, Moorabbin VIC 3189",55,8
Saints Basketball Club (McKinnon),"Mckinnon Secondary College, Mckinnon VIC 3204",206,11
Brighton Wolves Basketball Club,"Bialik College, Hawthorn VIC 3122",76,1
Independent,"Caulfield Grammar School, St Kilda East VIC 3183",99,9
Bentleigh Lakers Basketball Club,"St Patrick's School, Mentone VIC 3194",10,2
ABA Wolverines Basketball Club,"Hartwell Primary School, Camberwell VIC 3124",1,1
Brighton Wolves Basketball Club,"Mckinnon Secondary College, Mckinnon VIC 3204",206,4
South East Warriors Basketball Club,"Coatesville Primary School, Bentleigh East VIC 3165",189,7
Carnegie Basketball Club,"Mentone Grammar School, Mentone VIC 3194",41,7
Bentleigh Lakers Basketball Club,"South Melbourne Park Primary School, Albert Park VIC 3206",2,1
Bentleigh Lakers Basketball Club,"Nunawading Christian College - Primary, Nunawading VIC 3131",1,1
Oakleigh Raptors Basketball Club,"Mckinnon Secondary College, Mckinnon VIC 3204",206,9
Oakleigh Raptors Basketball Club,"Amsleigh Park Primary School, Oakleigh East VIC 3166",12,12
